UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
E37,SF,94107.0,B10,37,2544,3,3,False,,1,ENGINE,1.0,10.0,10.0,Potrero Hill,3.6333334
E22,SF,94122.0,B08,22,7425,3,3,True,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,3.5166667
M29,SF,94110.0,B06,09,5621,3,3,True,,1,MEDIC,1.0,6.0,9.0,Mission,1.65
M03,SF,94109.0,B04,03,3121,3,3,True,,1,MEDIC,1.0,4.0,6.0,Tenderloin,3.55
E03,SF,94102.0,B02,03,1545,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,0.8
E02,SF,94133.0,B01,02,1353,3,3,False,,1,ENGINE,1.0,1.0,3.0,Chinatown,3.45
M10,SF,94118.0,B04,10,4421,1,1,False,,1,MEDIC,1.0,4.0,2.0,Presidio Heights,6.5333333
M08,SF,94107.0,B10,37,2665,3,3,True,,1,MEDIC,2.0,10.0,10.0,Potrero Hill,5.25
M05,SF,94102.0,B02,36,3111,1,1,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,5.0333333
E05,SF,94102.0,B02,05,3424,3,3,False,,1,ENGINE,1.0,2.0,5.0,Hayes Valley,0.8666667
E36,SF,94102.0,B02,36,1646,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,0.93333334
E03,SF,94102.0,B02,03,1545,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,1.5333333
M10,SF,94123.0,B04,16,4223,3,3,False,,1,MEDIC,2.0,4.0,2.0,Marina,1.75
M10,SF,94118.0,B07,10,4443,3,3,False,,1,MEDIC,1.0,7.0,2.0,Presidio Heights,1.9666667
M12,SF,94127.0,B09,39,8672,3,3,True,,1,MEDIC,2.0,9.0,7.0,West of Twin Peaks,1.6
M29,SF,94110.0,B06,07,5526,2,2,True,,1,MEDIC,1.0,6.0,9.0,Mission,3.0666666
E26,SF,94131.0,B06,26,8127,3,3,False,,1,ENGINE,1.0,6.0,8.0,Glen Park,2.9166667
E08,SF,94107.0,B03,08,2172,3,3,False,,1,ENGINE,1.0,3.0,6.0,Mission Bay,3.4
M29,SF,94110.0,B06,11,5613,1,1,True,,1,MEDIC,1.0,6.0,9.0,Mission,2.8833334
